Device,CPU,Frequency,Minnimum RAM
CPH1923_0,Cortex-A53,2,2
Lenovo_A7020a48_0,Cortex-A53,1.8,3
MotoG3_0,Cortex-A53,1.4,1
MotoG_5S_Plus_0,Cortex-A53,2,3
Redmi_3S_0,Cortex-A53,1.4,2
Redmi_Y2_0,Cortex-A53,2,3
SM-A520W_0,Cortex-A53,1.9,3
SM-G610F_0,Cortex-A53,1.6,3
SM-J600GF_0,Cortex-A53,1.6,3
SM-J810G_0,Cortex-A53,1.8,3
SM-N910S_0,Cortex-A53,2.7,3
I3123_0,Cortex-A53,2.2,3
Pixel_C_0,Cortex-A57,1.9,3
LGUS991_0,Cortex-A57,1.8,3
KFMUWI_0,Cortex-A7,1.3,1
Lenovo_K8_Note_0,Cortex-A72,2.3,3
Redmi_Note3_0,Cortex-A72,1.8,2
SM-T715_0,Cortex-A72,1.8,3
CPH1969_0,Cortex-A73,2.1,4
SM-A405FN_0,Cortex-A73,1.77,4
SM-A505F_0,Cortex-A73,2.3,4
SM-A505U1_0,Cortex-A73,2.3,4
SM-M305F_0,Cortex-A73,1.8,3
SM-M307F_0,Cortex-A73,2.3,4
Redmi_Note8_Pro_0,Cortex-A76,2.05,6
Nexus_5_0,Krait 400,2.3,2
SM-N915A_0,Krait 450,2.7,3
OnePlus_A3003_0,Kryo,2.35,6
SM-T820_0,Kryo,2.15,4
moto_g7_power_0,Kryo 250 Gold,1.8,3
ASUS_X00TD_0,Kryo 260 Gold,1.8,3
Mi_A2_0,Kryo 260 Gold,2.2,4
Nokia_6.1_Plus_0,Kryo 260 Gold,1.8,4
Redmi_Note5_Pro_0,Kryo 260 Gold,1.8,4
Redmi_Note_6_Pro_0,Kryo 260 Gold,1.8,3
OnePlus_A5000_0,Kryo 280,2.45,6
OnePlus_A5010_0,Kryo 280,2.45,6
Pixel_2_XL_0,Kryo 280,2.35,4
SM-G950U1_0,Kryo 280,2.3,4
SM-G955_0,Kryo 280,2.35,4
SM-N950U1_0,Kryo 280,2.35,6
SM-T830_0,Kryo 280,2.35,4
SM-T835_0,Kryo 280,2.35,4
Pixel_3a_0,Kryo 360 Gold,2,4
RMX_1921_0,Kryo 360 Gold,2.3,4
OnePlus_A6000_0,Kryo 385 Gold,2.8,6
OnePlus_A6003_0,Kryo 385 Gold,2.8,6
OnePlus_A6010_0,Kryo 385 Gold,2.8,6
Pixel_3_0,Kryo 385 Gold,2.5,4
Pixel_3_XL_0,Kryo 385 Gold,2.5,4
SM-G960U1_0,Kryo 385 Gold,2.8,4
SM-G965U1_0,Kryo 385 Gold,2.8,4
H8314_0,Kryo 385 Gold,2.7,4
SM-G969U1_0,Kryo 385 Gold,2.8,4
SM-A705MN_0,Kryo 460 Gold,2,6
GM1901_0,Kryo 485,2.84,6
HD1901_0,Kryo 485,2.96,8
HD1905_0,Kryo 485,2.96,8
Pixel_4_0,Kryo 485,2.85,6
Pixel_4_XL_0,Kryo 485,2.85,6
Redmi_K20_Pro_0,Kryo 485,2.84,6
SM-F700F_0,Kryo 485,2.95,8
SM-F900F_0,Kryo 485,2.84,12
SM-G970U1_0,Kryo 485,2.84,6
SM-G973U1_0,Kryo 485,2.84,6
SM-G975U1_0,Kryo 485,2.84,6
GM1917_0,Kryo 485,2.84,6
SM-G988U_0,Kryo 585,2.84,12
SM-G930F_0,Mongoose M1,2.3,4
SM-G930K_0,Mongoose M1,2.3,4
SM-G935F_0,Mongoose M1,2.15,4
SM-G950F_0,Mongoose M2,2.3,4
SM-G965F_0,Mongoose M3,2.8,4
SM-N970F_0,Mongoose M4,2.73,8
SM-N975F_0,Mongoose M4,2.73,12
SM-G981B_0,Mongoose M5,2.73,12
SM-G986B_0,Mongoose M5,2.73,12
