Feature dims,kernel,stride,padding,input channels,output channels,mean time,std deviation
224,3,1,1,3,3,1541.4666,1605.578074175824
224,3,1,1,3,6,916.9680000000001,694.7485246228913
224,3,1,1,3,12,1001.5199,716.5135411888892
224,3,1,1,3,18,1752.0328,556.3243514386568
224,3,1,1,3,24,1003.7858,113.00907633069032
224,3,1,1,16,16,1438.20975,65.47794919213564
224,3,1,1,16,32,1740.81925,137.91652636358475
224,3,1,1,16,64,3154.1576,503.40245247341875
224,3,1,1,16,96,6429.92035,426.5347937589338
224,3,1,1,16,128,7651.37995,590.8853915195467
224,3,1,1,24,24,1782.8016,170.1240384881448
224,3,1,1,24,48,3164.17685,1129.0132895772902
224,3,1,1,24,96,4295.38185,601.9520090372894
224,3,1,1,24,144,9031.02195,293.85736142100194
224,3,1,1,24,192,12416.53955,3932.85608693759
224,3,1,1,32,32,2139.161,313.841942940945
224,3,1,1,32,64,3624.04375,96.25720614220337
224,3,1,1,32,128,5943.78675,731.7190702697367
224,3,1,1,32,192,12678.875900000001,580.8094092071584
224,3,1,1,32,256,19442.97295,4837.144179879721
224,3,1,1,40,40,5152.76015,892.8328412902074
224,3,1,1,40,80,6296.68545,708.2020433780829
224,3,1,1,40,160,18620.13815,2723.283715816031
224,3,1,1,40,240,24160.7526,2784.604694291499
224,3,1,1,40,320,32693.0828,1139.6683710255184
224,3,1,1,48,48,5688.6865,648.92246552456
224,3,1,1,48,96,10640.8769,838.4033752117238
224,3,1,1,48,192,25854.8754,1779.4418684227753
224,3,1,1,48,288,36201.99835,4287.749253731603
224,3,1,1,48,384,48365.0914,6885.220016410569
224,3,1,1,56,56,8395.56195,2977.870370614128
224,3,1,1,56,112,15825.63355,2671.540571355973
224,3,1,1,56,224,30300.4362,1829.3165693197423
224,3,1,1,56,336,46317.034,3914.215232534507
224,3,1,1,56,448,59403.748250000004,9033.867730782235
224,3,1,1,64,64,10055.7654,1972.2205073350406
224,3,1,1,64,128,18179.1394,3307.714609077732
224,3,1,1,64,256,37920.4183,4062.0725097666345
224,3,1,1,64,384,56734.14665,8762.340664090583
224,3,1,1,64,512,78370.3238,8177.993599166111
224,3,1,1,72,72,11749.6475,1849.3968228191388
224,3,1,1,72,144,17832.1307,4754.735341616089
224,3,1,1,72,288,33062.72225,2792.667551305456
224,3,1,1,72,432,48075.872,4549.549072394017
224,3,1,1,72,576,58620.7455,5834.867356652434
224,3,1,1,80,80,10414.49015,2030.8493481789512
224,3,1,1,80,160,20589.487699999998,2681.2954721690644
224,3,1,1,80,320,38641.99255,3671.5657827226714
224,3,1,1,80,480,53326.80075,7473.772000503802
224,3,1,1,80,640,69131.81925,8321.50064648351
224,3,1,1,88,88,11206.8936,2176.399996230458
224,3,1,1,88,176,35344.5927,7758.202499027439
224,3,1,1,88,352,77812.088,9000.577628448349
224,3,1,1,88,528,80626.4808,16006.32324595503
224,3,1,1,88,704,89970.36455,12971.191816416795
224,3,1,1,96,96,12014.2496,2438.625166719115
224,3,1,1,96,192,26666.2114,3275.110348154947
224,3,1,1,96,384,50419.80005,5902.211814246396
224,3,1,1,96,576,71747.81165,8509.493917722199
224,3,1,1,96,768,139303.38994999998,22210.355034362117
224,3,1,1,104,104,16951.8268,3234.4619089881917
224,3,1,1,104,208,33097.7219,3452.9462087436186
224,3,1,1,104,416,97052.35704999999,12329.094403624022
224,3,1,1,104,624,132760.5811,14448.9842167077
224,3,1,1,104,832,197192.3249,5599.8793624092705
224,3,1,1,112,112,27200.42325,5057.564882440944
224,3,1,1,112,224,54993.21545,7701.110954195203
224,3,1,1,112,448,102516.3429,9145.709896479339
224,3,1,1,112,672,168983.8896,9623.698048475957
224,3,1,1,112,896,219300.4968,13784.412678616996
224,3,1,1,120,120,30214.45965,2688.637816777137
224,3,1,1,120,240,58421.18355,13176.618308782856
224,3,1,1,120,480,118343.249,10446.305322666232
224,3,1,1,120,720,175779.68409999998,16712.057098404886
224,3,1,1,120,960,205478.33515,33796.22317078268
224,3,1,1,240,240,74156.9843,9007.47705824957
224,3,1,1,240,480,149009.7163,18194.372996180457
224,3,1,1,240,960,305624.47475,36287.31421624973
224,3,1,1,240,1440,442603.60894999997,63374.26612808969
224,3,1,1,240,1920,552130.68475,34998.269844962466
224,3,1,1,360,360,184448.40645,44904.1299156967
224,3,1,1,360,720,393257.52175,62726.42066710547
224,3,1,1,360,1440,736911.5724000001,102485.82110936976
224,3,1,1,360,2160,1026895.518,132863.28720983618
224,3,1,1,360,2880,1207624.5402,141128.81055915
112,3,1,1,3,3,1081.1016,154.98320800362453
112,3,1,1,3,6,1052.7213000000002,128.9554133012443
112,3,1,1,3,12,1741.3757,350.8285044806305
112,3,1,1,3,18,967.78865,259.3709381454484
112,3,1,1,3,24,584.23895,27.403505337581226
112,3,1,1,16,16,797.1481,35.75730522181887
112,3,1,1,16,32,1150.99935,670.2389033644547
112,3,1,1,16,64,1322.7094,93.66780002776892
112,3,1,1,16,96,1670.2964,179.70936451140972
112,3,1,1,16,128,1803.8545,69.58423782838967
112,3,1,1,24,24,991.6759,24.033782429825916
112,3,1,1,24,48,1503.6481,16.29917792857569
112,3,1,1,24,96,1960.42135,29.338455440051604
112,3,1,1,24,144,2744.2013,83.04243782174832
112,3,1,1,24,192,3247.3076,218.2142830282102
112,3,1,1,32,32,1229.34505,29.79164660998464
112,3,1,1,32,64,1744.8479,30.352426724971032
112,3,1,1,32,128,2443.331,278.89423553798275
112,3,1,1,32,192,2817.76015,187.5938905753246
112,3,1,1,32,256,3015.71945,209.2197920527031
112,3,1,1,40,40,1435.3851,38.45898891423516
112,3,1,1,40,80,1798.75255,37.20208927278851
