SM-J600GF_0,KFMUWI_0,Pixel_3a_0,OnePlus_A3003_0,Redmi_Note5_Pro_0,Redmi_Note5_Pro_4_0,MotoG3_0,GM1901_0,GM1901_0,Lenovo_K8_Note_0,SM-M307F_0,OnePlus_A5010_0,OnePlus_A5010_0,SM-A505F_0,SM-A505F_0,ASUS_X00TD_0,OnePlus_A6000_0,CPH1969_0,SM-G950F_0,HD1905_0,SM-M307F_0,OnePlus_A6003_0,GM1901_0,GM1901_0,Redmi_K20_Pro_0,SM-M307F_0,SM-M307F_0,Redmi_Note3_0,Redmi_Note3_0,Redmi_Note3_0,Lenovo_A7020a48_0,SM-G950U1_0,SM-G935F_0,SM-G930F_0,Pixel_3_0,Pixel_4_0,Pixel_4_XL_0,SM-G965F_0,Pixel_3_XL_0,SM-N975F_0,SM-F700F_0,Pixel_2_XL_0,SM-G986B_0,SM-A405FN_0,SM-G981B_0,SM-G988U_0,CPH1923_0,SM-G930K_0,Redmi_Note_6_Pro_0,Redmi_Y2_0,SM-A405FN_0,Nexus_5_0,SM-A505U1_0,SM-A705MN_0,SM-G973U1_0,SM-T835_0,SM-G975U1_0,SM-N975F_0,SM-N970F_0,SM-G970U1_0,Redmi_Note5_Pro_0,Redmi_Note5_Pro_0,Redmi_Note5_Pro_0,SM-T830_0,SM-A520W_0,SM-G965U1_0,SM-G969U1_0,SM-N950U1_0,MotoG_5S_Plus_0,SM-T835_0,SM-T820_0,SM-G955_0,SM-N915A_0,HD1901_0,SM-G950U1_0,SM-F900F_0,SM-G935F_0,SM-N910S_0,SM-T715_0,SM-G960U1_0,Pixel_4_0,SM-G610F_0,Pixel_C_0,CPH1923_0,OnePlus_A5010_0,SM-J810G_0,HD1901_0,Redmi_Note8_Pro_0,SM-A505F_0,Redmi_Note8_Pro_0,Redmi_3S_0,RMX_1921_0,OnePlus_A5000_0,OnePlus_A6000_0,Mi_A2_0,OnePlus_A6010_0,Nokia_6.1_Plus_0,Pixel_4_0,SM-M305F_0,SM-N975F_0,I3123_0,H8314_0,GM1917_0,LGUS991_0,moto_g7_power_0,FLOPS
99.04280767,105.0267564,24.42359447,27.1324514,39.22822923,38.3931528,110.8,9.576897533,8.745253533,43.42651283,27.59390373,24.8823281,24.05508513,33.32714363,36.80572817,35.1751233,17.39068577,28.48509223,32.23810643,8.9438297,32.06173453,17.4063558,8.769510433,8.727284633,10.20350513,29.2014371,36.2026666,35.53692187,34.22608153,34.14736977,59.20091277,26.04592543,36.8863577,41.7417167,17.86105397,8.597924433,9.2271537,30.75422053,18.02630897,12.78569357,8.2996789,26.54407213,8.1689681,33.34675253,7.706826867,7.678031333,88.92990507,59.44542617,35.523736,67.59512327,33.41701793,95.0548525,26.36533323,28.43378983,12.224809,27.02044967,11.69391837,12.9163013,11.54807693,10.82406427,32.51683333,34.5171615,39.11780213,24.9463507,70.3314705,20.0305123,17.47008153,24.13455903,68.59584883,26.47093227,38.3707047,36.8392589,69.77383153,10.87068767,25.2527343,8.757558933,40.62140387,65.94292637,56.77057227,19.1763402,9.589742333,83.3822898,41.04802773,101.0757232,24.3514133,79.7075156,10.7460228,17.16108207,36.1928987,15.5742179,91.74847573,23.12458163,24.2343229,17.27728657,31.1655087,17.57518737,35.38175863,9.770391567,34.28681273,13.21533203,70.70185257,17.4244219,12.92851917,52.83165273,35.39896867,65.32186
73.85832953,74.86547443,16.55718553,15.30237157,24.63099473,26.76923083,78,7.410296767,7.298333433,29.2997642,18.5667936,17.46016153,17.5163055,24.50629867,26.36731537,24.36276043,12.20666667,19.7082897,18.7032834,6.921423633,23.4155603,12.14567543,7.298579967,7.2233472,8.470815967,20.46726673,24.13263463,24.74240797,23.45417,25.0951665,46.6909563,18.44405367,18.04766917,19.2570575,12.43556717,7.015144767,7.183441633,12.34831027,12.48804293,9.5898462,6.897425267,18.37602613,6.643470567,23.754464,6.5869475,6.3689722,53.62700003,26.75499657,23.95269617,51.10532987,24.58894747,47.453177,18.75364743,17.13107463,7.3379652,19.06873947,7.489111133,7.707349967,7.3469462,7.317388933,23.20196003,24.35059203,26.72847563,17.27915987,49.10222947,12.2565763,12.61294797,16.99908853,51.36421,18.39073263,18.95481247,19.36963447,35.2345278,7.7285989,19.70666833,7.3025539,21.79973977,36.97837217,35.75163757,12.52734903,7.117839133,63.8951768,24.3606717,55.27980777,17.83474313,59.51630907,7.738932333,11.06408957,25.89540253,10.617123,66.9918195,15.35685063,17.54705033,12.33888207,23.6063993,12.46630733,24.55776913,7.419347933,23.77613087,9.188138367,49.27175353,12.2983838,7.027104167,35.5104948,24.1168426,43.01853
119.6839616,120.7291436,28.92328773,31.91294957,51.11290113,45.69879693,133.7333333,10.39669273,10.0252811,51.7169306,31.2222986,28.08034543,28.8111735,39.1821115,44.45663077,40.05084203,20.351177,33.7228487,37.5221358,9.6915973,38.44138337,20.38120143,10.0329879,10.0761892,11.95020133,34.86120893,40.9986655,42.30636633,50.4031579,40.2084879,80.68754363,30.86023783,42.00438713,48.32119237,20.46856103,9.8714905,10.04723697,35.71192667,20.53121563,15.0446166,9.628605767,30.1499127,8.864625467,39.79017563,9.1335974,8.7953455,77.04340517,61.6257351,39.77263023,83.34254683,39.79012823,111.4365866,31.10884107,19.6674097,12.16366507,31.65369447,12.03921867,13.5511833,13.5130859,14.10665117,39.16492883,49.31972913,45.4821354,29.2590451,72.8805641,20.45181943,20.983658,28.28788017,84.39650507,31.0207031,40.82771157,42.93279613,92.01955893,10.739691,65.05987503,10.46736797,49.4645037,85.95695273,68.0972556,20.62981243,10.06806347,104.4012705,42.36228297,101.8261668,28.23718213,101.4127326,9.870687367,18.2403846,42.74085907,18.02748717,147.6463627,26.9537916,28.42065283,20.3301772,33.9529949,20.25168403,40.40043227,10.30689697,39.20082303,12.79725007,70.5554948,20.26115787,12.03661447,57.45685587,40.4687071,69.060324
106.1899512,106.8824565,25.1640529,28.62598783,39.6705607,39.39956593,117.0666667,9.131824567,8.889309033,47.1218666,27.47705643,24.5346805,24.71001557,34.00307693,40.34385403,35.31508493,17.84204163,29.34387693,33.09760373,8.714164933,31.3311923,17.72623087,9.098243133,9.0285227,10.29918753,30.3378179,35.52851523,39.5030053,38.81825687,41.60222553,66.7876487,27.06715457,37.15694743,39.945941,17.98631427,8.772414,8.9176259,32.78036923,18.0882274,12.88160767,8.472324733,26.67196093,7.780729467,34.90576013,7.831634567,7.813687367,77.7185001,51.68896037,35.38849993,74.47045313,34.85381407,99.57180733,27.51992437,18.05830903,10.79650703,27.43488713,10.73171357,12.13331413,12.2255076,12.37540453,34.80661813,39.25383853,39.32650337,26.01053123,63.76554733,17.63842363,18.1235625,24.82201373,75.44791373,28.3771649,48.84163373,37.00862567,62.60062317,9.613730867,63.02722563,9.226493067,44.42557817,79.03027363,61.21223043,18.35746867,9.011063433,90.59221403,37.58374657,84.66745373,24.48127793,84.299382,8.880883767,16.3641692,37.19501537,16.36575897,125.8418368,23.59276037,24.93148267,18.0187883,30.22723087,17.69169623,35.91773613,9.110296,34.57093463,11.5875756,60.91570483,17.88990623,10.74157297,43.78774657,35.93629687,60.131708
87.3011884,87.4870462,19.7917311,17.05062853,31.79853477,30.4624237,92.93333333,8.829489567,8.762237867,35.4951103,21.39739883,19.8369375,19.51518407,26.99009113,31.78540387,28.44203987,14.4335712,22.94669487,21.11765393,8.4585798,22.42023713,14.57725857,8.743914867,8.712138867,10.27120473,23.6781154,27.24745123,27.87481943,29.17278477,37.97026557,52.83289483,21.22467893,21.2075717,23.17506917,14.6818122,8.6547526,8.6144366,15.53905137,14.74467153,9.963792267,8.314685767,20.6135801,8.595033333,27.30361677,9.044825533,7.888706667,60.51979223,30.33162157,27.51891317,59.33363377,27.12563963,54.43252423,21.30637307,12.96496013,8.663361033,22.21114233,9.9757709,9.90935,9.845206333,9.895286433,26.93455207,30.75341317,30.70021513,20.28398433,50.52234483,14.39084887,14.6680503,20.41516493,60.05948163,22.77160053,31.79839577,23.4736755,47.4579183,9.097322833,56.9220294,8.745779467,24.9227577,51.35170413,43.63373473,14.70505043,8.843848067,74.79643327,26.8954411,62.5647,19.78490983,68.62688013,8.616819333,12.94421287,29.84324357,12.6265,105.5992238,17.9126094,19.68425513,14.1259704,23.10683857,14.23655577,27.3915434,8.882414067,27.705623,9.519460167,46.8713455,14.29506767,8.5622535,32.83192883,27.67213987,44.04274
70.19416537,71.5823615,16.24634883,14.7826719,26.6445017,26.14689937,71.33333333,6.862930633,6.901684133,31.07183333,18.23681273,16.40417007,16.3889739,24.04506143,28.01210903,23.45030377,11.7839791,19.5105924,17.18371283,6.603777633,19.16481913,12.26680737,6.9174323,6.820007,6.9624149,20.08668063,23.45426013,24.78318573,28.3270519,35.7320382,44.27523077,18.13698263,18.04564363,18.31364863,11.94058813,6.685392867,6.707417333,11.34573837,11.940449,6.9942308,6.436558967,18.04726037,6.195176867,23.21217057,7.531193567,5.992989567,45.8124127,25.80462193,23.6787169,48.8974113,23.16648727,43.47647213,18.3368127,10.0139566,6.746979167,17.72089223,7.709265633,7.0035025,7.0972744,6.767095367,23.0891196,26.3479566,26.49738553,17.28055207,42.4295987,12.13049303,12.14000523,16.7334445,49.71139023,18.76560243,25.84179863,18.60625897,27.91500527,7.230810667,44.05970673,6.6184896,20.3072346,42.4600598,34.61539023,12.0759896,6.808655,60.97333087,23.778408,56.1540179,16.75927937,55.79404527,6.800718733,10.697782,24.7585334,10.15789243,80.91711287,14.96413013,16.6599357,11.64764567,21.31694617,12.05762143,23.49842357,6.930110033,23.1196347,6.885438433,40.45836977,11.72119963,6.7210573,28.09792367,23.62897627,40.969166
109.6233576,110.231805,25.80881673,29.7071494,40.1554339,39.32635407,113.4666667,9.2634635,9.025024333,43.14729237,28.21532297,24.80833513,25.5115103,35.88137687,71.835791,36.39317873,17.98246357,30.0890538,33.59099597,8.750743267,28.58147937,18.38726047,9.1495919,9.016720467,9.159086667,30.86154873,36.2481846,39.42579677,51.16435253,53.3378298,68.06113847,27.20142,52.86262053,39.82983063,18.8108751,9.754051367,9.538494,33.47915377,18.64939063,12.1760385,8.4235884,27.46163627,7.999891167,35.7348743,9.599932067,7.775394033,65.9694,52.67225427,36.4030851,75.63036093,41.20703073,96.7375192,28.1889603,16.73063707,10.95977423,27.30222403,12.76763193,12.1728269,12.1583166,10.9020868,35.41403123,40.0009461,40.43506417,26.37504867,65.54740503,18.34060417,18.55516313,25.45371357,76.60184093,27.34260407,50.7827742,37.1919782,87.7644115,9.3748698,82.85953477,8.9022483,45.32705897,75.55357917,62.67216253,18.99234027,9.1355285,92.31622163,36.37304687,87.5681487,25.10745827,85.6668159,8.678395967,23.85809233,38.57974863,18.1730871,116.751816,24.4302708,26.92065973,17.79223783,33.28123267,18.43367527,36.33721173,9.137193633,35.5136731,11.9170705,62.32913903,17.92797747,10.89877943,43.4641806,36.88001407,66.025696
109.1362756,108.8399846,25.238268,28.4645105,38.8567377,39.91723603,110.6666667,9.223253333,9.1732638,46.7041641,27.66105497,24.6920728,24.55587853,34.89463327,80.77355377,34.7592378,18.22398613,29.46352053,32.0912524,8.878289933,27.4061307,18.2365641,9.208515667,9.2734566,10.53478123,30.5279859,35.22346283,37.7964723,53.07471357,52.71951043,68.47313083,26.89082473,54.1870359,41.2719116,18.4584079,9.4026137,10.03822143,31.6183691,18.5635037,12.83575127,8.584999967,25.94831173,8.251055233,35.076964,8.164257667,8.064267367,73.86213597,53.9156029,34.55579697,74.12772213,36.29352047,93.16280897,27.55734733,16.2914358,10.74930903,27.07326917,11.05577773,11.97896663,11.8610564,10.72260403,36.23871513,39.1479167,39.15381237,25.1272084,66.47395633,17.9867639,18.0936633,24.92909553,74.48648667,26.97264233,37.0025989,35.53904987,72.82399663,9.4874583,77.60557813,9.0081197,42.38718327,76.62259303,61.7308681,18.94340277,9.2137144,91.86221147,36.4065694,78.25950767,24.2726909,83.22553823,9.003689167,23.25896923,37.3937805,19.05960257,99.7917881,22.79185427,24.67241323,17.50928817,34.69242713,17.72846537,34.9850173,9.1950391,35.13069743,12.22381913,60.4714426,17.826099,10.82125357,44.18140273,35.7227726,65.429464
78.18520753,77.21110243,17.82617887,15.66534023,27.23874643,28.0012083,77.46666667,7.962310733,7.932392433,29.540141,19.0927498,17.48282453,17.5308247,25.1648076,59.6352552,25.05218223,13.07588383,21.0463846,18.6384385,7.584696333,19.15645,13.06903817,7.977637133,7.9409809,9.259402767,21.26283457,24.5411462,24.97970143,37.23274477,35.32055723,49.3212257,19.43867883,28.0021142,22.75097417,13.33655337,8.106987,8.125450467,13.68535113,13.3765726,8.792169267,7.3843645,18.72026397,7.8461602,24.53981273,7.8299731,7.1833472,51.39393343,24.45722957,24.72942183,56.4065138,25.83473203,50.38672043,20.90930893,11.40128127,9.081928833,19.36986103,7.8230121,8.524052533,8.744528267,9.038295233,24.3372761,27.53059353,27.37369267,17.8136649,45.84801537,13.60441843,13.75336807,17.84738893,54.45176047,19.6169132,22.06133503,20.50773987,38.1326563,8.122171867,60.29941837,7.757286333,24.65912053,47.75170967,39.41369997,19.02259547,7.958542567,64.39801003,24.52375187,47.14489227,17.64920133,63.03758337,7.766217033,20.2974922,26.20334863,13.8267537,71.8613992,15.68738193,17.7964254,12.81250867,25.21752253,13.28322923,24.93752257,7.875523433,24.5998512,9.368573033,43.14305037,13.1913768,7.699432167,30.58996877,25.0434853,41.505226
78.56694343,78.53277953,18.39188023,15.87352083,28.54232457,29.07703633,78.13333333,8.143284733,8.120923533,29.81767177,19.84587693,17.86713877,17.86803643,54.99487937,58.66491397,29.98975537,13.3662795,21.6404257,19.92768203,7.753072867,19.92635763,13.5371354,8.0707794,8.3181196,9.471947933,21.85665517,25.26003343,26.96238543,39.9144531,35.27197923,48.43295373,20.58646357,29.74877433,23.8144487,13.76008113,8.2225703,8.262209,15.1772884,13.7613815,9.390916733,7.576758633,19.15238903,8.085869133,27.0752179,8.174478267,7.595178867,59.0044641,23.3312549,26.15188193,54.9765329,26.28123853,50.9990139,21.9597385,12.24862843,9.368328067,19.51924477,8.111624967,9.494651233,9.471792233,9.420019133,25.19526903,28.1794444,28.5942448,18.80462853,47.4673244,13.38076727,13.41908333,19.790165,55.39681987,19.86580217,21.78127597,21.89832547,53.10390627,8.303557367,79.07702067,7.912249967,27.82810897,50.5352389,39.9268764,19.337849,8.173355033,65.9094872,24.12727597,46.7667179,18.07193053,64.01143913,7.852654433,17.0126539,27.40822307,14.3409846,73.3894462,16.18893747,18.29869793,13.237875,25.25205727,13.5959843,25.4728887,8.175921133,25.15401523,9.323437067,42.82518757,13.61251227,8.0755678,34.42624133,25.85178393,44.162839
