Feature dims,kernel,stride,padding,input channels,output channels,mean time,std deviation
224,3,1,1,3,3,9154.481450000001,39441.3676961743
224,3,1,1,3,6,426.4087,42.90967359355303
224,3,1,1,3,12,933.94615,93.45738376409298
224,3,1,1,3,18,1615.48525,150.45086975098857
224,3,1,1,3,24,2168.012,532.3116513591798
224,3,1,1,16,16,2252.73355,61.24301121328908
224,3,1,1,16,32,4709.16475,51.53159027531205
224,3,1,1,16,64,9281.6661,650.0389817362698
224,3,1,1,16,96,14353.80995,420.6038128577425
224,3,1,1,16,128,18779.33135,576.3027873047176
224,3,1,1,24,24,3901.8593,61.41326778739529
224,3,1,1,24,48,9695.1471,3719.6442060106247
224,3,1,1,24,96,13983.91395,449.81757069709886
224,3,1,1,24,144,24910.54245,2844.222618434955
224,3,1,1,24,192,30559.9769,759.9291117675936
224,3,1,1,32,32,6401.7575,53.24216347328309
224,3,1,1,32,64,11087.41325,136.06990523677405
224,3,1,1,32,128,20669.8898,467.0424262951302
224,3,1,1,32,192,32993.7551,289.65375137928856
224,3,1,1,32,256,44355.2457,971.3483926006713
224,3,1,1,40,40,10513.81505,111.6312908167707
224,3,1,1,40,80,16421.96685,82.50232204022448
224,3,1,1,40,160,30637.8852,674.9842913706328
224,3,1,1,40,240,46972.1715,257.99378421714704
224,3,1,1,40,320,61573.16195,237.63715521146364
224,3,1,1,48,48,12491.88525,151.11400518878912
224,3,1,1,48,96,19330.6619,119.25955910661979
224,3,1,1,48,192,39529.85375,743.5392393066588
224,3,1,1,48,288,60694.20835,325.4735756474955
224,3,1,1,48,384,79808.67335,362.03944501920915
224,3,1,1,56,56,14687.0406,50.98402411633195
224,3,1,1,56,112,26883.37775,81.54082474046508
224,3,1,1,56,224,50100.9969,295.7355391787701
224,3,1,1,56,336,77875.22045,129.12260525092665
224,3,1,1,56,448,100292.03985,421.11953154272845
224,3,1,1,64,64,16272.34055,182.29501033922025
224,3,1,1,64,128,30161.65865,113.11957199459124
224,3,1,1,64,256,62233.7717,941.6379643541134
224,3,1,1,64,384,93034.7576,332.808295680452
224,3,1,1,64,512,122654.31795,295.0254705194218
224,3,1,1,72,72,23506.2583,58.78127169797825
224,3,1,1,72,144,39272.42075,185.31565449222452
224,3,1,1,72,288,74784.85675,1180.8890220149647
224,3,1,1,72,432,113786.7945,235.98818203606163
224,3,1,1,72,576,147361.54355,448.90084832182407
224,3,1,1,80,80,26024.99015,59.926781628456574
224,3,1,1,80,160,45968.0152,684.469790383737
224,3,1,1,80,320,89102.7194,463.67575123212185
224,3,1,1,80,480,131673.77665,351.39855739035636
224,3,1,1,80,640,173689.3267,285.48821394330093
224,3,1,1,88,88,28767.9221,287.16543103417297
224,3,1,1,88,176,56494.33085,564.2857443550604
224,3,1,1,88,352,103659.0137,325.32019482481195
224,3,1,1,88,528,156429.98745,337.60354222237976
224,3,1,1,88,704,202566.33315,354.420425797906
224,3,1,1,96,96,31072.95955,206.32217946224273
224,3,1,1,96,192,61358.801400000004,850.5870690618943
224,3,1,1,96,384,119033.06625,174.6898627546827
224,3,1,1,96,576,176113.48125,331.0772911435214
224,3,1,1,96,768,233002.2428,444.07852799614113
224,3,1,1,104,104,40514.02645,229.40218667050178
224,3,1,1,104,208,73641.7764,493.8383957255431
224,3,1,1,104,416,135991.91525,310.2218277402666
224,3,1,1,104,624,204010.1321,465.74844972241664
224,3,1,1,104,832,266187.58885,549.9832634401115
224,3,1,1,112,112,43825.11445,273.1365736867061
224,3,1,1,112,224,79688.5087,590.8325501422465
224,3,1,1,112,448,153291.8073,351.86980615399733
224,3,1,1,112,672,228035.1089,269.34022731460766
224,3,1,1,112,896,300515.6975,379.1280719271639
224,3,1,1,120,120,47184.038,614.7557937493724
224,3,1,1,120,240,92758.06605,336.54561645535136
224,3,1,1,120,480,172627.7487,447.1630496418062
224,3,1,1,120,720,259995.7414,435.3076462382832
224,3,1,1,120,960,338061.93955,369.94513206427246
224,3,1,1,240,240,158213.0356,659.1847213788446
224,3,1,1,240,480,294073.39650000003,403.9238515338649
224,3,1,1,240,960,576177.03125,586.9965235801164
224,3,1,1,240,1440,863059.8330999999,722.1084858800431
224,3,1,1,240,1920,1139573.06005,761.1533609281018
224,3,1,1,360,360,331128.25635,234.2481776969529
224,3,1,1,360,720,627795.17255,547.1898965044672
224,3,1,1,360,1440,1218386.12555,574.7953414713767
224,3,1,1,360,2160,1821730.19925,650.7885609259561
224,3,1,1,360,2880,2411868.6527,1620.3041227654996
112,3,1,1,3,3,208.56735,48.84722335186353
112,3,1,1,3,6,191.56435,26.634565931224348
112,3,1,1,3,12,224.8877,30.223887473495633
112,3,1,1,3,18,273.24835,31.40282387448786
112,3,1,1,3,24,394.64369999999997,23.27136579146139
112,3,1,1,16,16,562.537,34.19067652691917
112,3,1,1,16,32,828.88025,27.94863497255183
112,3,1,1,16,64,1653.79265,87.36361668474738
112,3,1,1,16,96,2309.8005,38.21672128862748
112,3,1,1,16,128,3107.0274,13.22891217391911
112,3,1,1,24,24,932.8403500000001,63.9860425975236
112,3,1,1,24,48,1756.20945,90.55700128908342
112,3,1,1,24,96,2815.14605,37.14586176352973
112,3,1,1,24,144,4389.5946,14.989803483140022
112,3,1,1,24,192,5390.32925,48.457701562534695
112,3,1,1,32,32,1272.55455,71.08109498791907
112,3,1,1,32,64,2380.4549,53.40560454119517
112,3,1,1,32,128,4328.66245,12.82240838480988
112,3,1,1,32,192,6220.0078,32.28589857670474
112,3,1,1,32,256,8033.46315,30.10610037547896
112,3,1,1,40,40,2327.6664,83.78470826400368
112,3,1,1,40,80,3597.25905,23.970237136202595
112,3,1,1,40,160,6021.4785,12.680801537425712
112,3,1,1,40,240,9039.9874,28.16275600000434
112,3,1,1,40,320,11135.0854,22.954202494257338
112,3,1,1,48,48,2785.64835,36.66917769128818
112,3,1,1,48,96,4297.0138,16.340837379818954
112,3,1,1,48,192,7938.9689,25.342857168503237
112,3,1,1,48,288,11391.4553,16.60512853276002
112,3,1,1,48,384,14859.188250000001,32.73003957717899
112,3,1,1,56,56,3269.42295,29.672410358295075
112,3,1,1,56,112,6018.8982,14.910744828019753
